business_id,name,num_reviews,rating,descriptors,price_descrip,su_breakfast,su_lunch,su_dinner,m_breakfast,m_lunch,m_dinner,t_breakfast,t_lunch,t_dinner,w_breakfast,w_lunch,w_dinner,r_breakfast,r_lunch,r_dinner,f_breakfast,f_lunch,f_dinner,sa_breakfast,sa_lunch,sa_dinner,pickup,delivery,restaurant_reservation
j6t0BW13CZOiTfptbJkyUg,Zocalo,128.0,4.8,Mexican Coffee & Tea Breakfast & Brunch ,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
Fz-BIAOoPIzfUj2NdFPEqA,Santa Barbara Fish Market and Restaurant - Goleta,97.0,4.4,Seafood Markets Seafood Fish & Chips ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.0,1.0,0.0
Rl42JbSMsmNW3LRjsTMYAg,Freebirds,1423.0,4.1,Mexican   ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.0,0.0,0.0
eGI_WepIIjYahIrMVRknfw,Sizzling Lunch,148.0,4.2,Japanese Steakhouses Asian Fusion ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.0,1.0,0.0
9xW7LsJpyhVZFRb6z9xorg,Ca' Dario - Goleta,282.0,4.0,Italian Pizza Wine Bars ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1.0,1.0,0.0
NIust_QhVrFwOAmVf5qPPw,Teddy Rice,5.0,5.0,Comfort Food   ,,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.0,1.0,0.0
cZ6sHHLv7VSmuFSxP6sQLg,Lao Wang,181.0,3.8,Chinese Noodles  ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.0,1.0,0.0
bFWH7wlto7jjjwce5ZV--A,Home Plate Grill,320.0,4.5,Burgers Pizza Breakfast & Brunch ,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
N9p_K2tK9pVY1ySLIejm4Q,CAYA Restaurant,80.0,4.0,Breakfast & Brunch Cocktail Bars Venues & Event Spaces ,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0
vyyr3G874jpRYSQo2KPZow,Cristino's Bakery,285.0,4.7,Bakeries Coffee & Tea Sandwiches ,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1.0,1.0,0.0
MiMRlsXOpHJMSTDAuw8s1w,Su’s Bowl,34.0,3.9,Asian Fusion Szechuan  ,,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.0,1.0,0.0
y_nxlU0bcvr-vsUoliOEJg,Hummus Republic,52.0,4.5,Mediterranean Vegetarian Vegan ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.0,1.0,0.0
OzGk7arJv6FPrWqaYSvyKQ,Choi's Oriental Market,241.0,4.5,Korean International Grocery  ,moderate,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0.0,1.0,0.0
Qki5LF9vIN7KPM3gn2WkJQ,On The Alley - Goleta,299.0,3.8,American Breakfast & Brunch  ,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
LlGIlNJE2Nv_PXkH7l4Wmg,Lilly's Tacos,656.0,4.4,Mexican   ,cheap,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0.0,1.0,0.0
sNyHfboSOs-ESN76cYFfTA,Santorini Greek Island Grill,40.0,4.4,Greek Mediterranean Vegetarian ,cheap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1.0,0.0
